ReviewNo,JJP,RBP,JJN,RBN,Polarity,New_sentiment,WordCount,Sentiment
0,5,4,6,0,-0.142142857,neg,182,Neutral
1,4,5,0,1,1.263310185,pos,93,Positive
2,6,2,1,0,1.375515873,pos,94,Positive
3,0,1,1,0,-0.145833333,neg,72,Neutral
4,7,1,0,1,1.972859848,pos,135,Positive
5,3,0,1,0,0.77,pos,57,Positive
6,1,0,0,0,0.285521886,pos,73,Positive
7,3,0,5,1,-0.053472222,neg,88,Neutral
8,3,0,5,0,-0.556755051,neg,67,Negative
9,1,0,0,0,0.784375,pos,21,Positive
10,1,3,2,0,0.127380952,pos,60,Neutral
11,3,0,3,1,0.342857143,pos,96,Positive
12,5,1,1,0,0.794742063,pos,238,Positive
13,0,0,0,0,0.434183673,pos,64,Positive
14,3,0,1,0,1.15,pos,30,Positive
15,1,1,5,1,-0.242083333,neg,77,Negative
16,1,0,2,0,1.530704365,pos,61,Positive
17,0,0,4,1,-2.4625,neg,140,Negative
18,0,0,1,1,0.2,pos,65,Positive
19,6,2,1,0,0.509722222,pos,67,Positive
20,4,0,11,2,0.24985119,pos,180,Positive
21,3,0,9,2,-1.946111111,neg,87,Negative
22,0,0,0,0,0.7625,pos,30,Positive
23,3,2,11,0,-0.214381313,neg,172,Negative
24,3,0,1,2,0.777083333,pos,79,Positive
25,8,0,2,1,0.381805556,pos,69,Positive
26,9,2,6,1,4.852986231,pos,308,Positive
27,2,1,2,1,0.440151515,pos,76,Positive
28,2,1,5,0,-1.85,neg,74,Negative
29,7,2,13,1,-0.004166667,neg,367,Neutral
30,2,3,8,2,0.090063131,pos,248,Neutral
31,7,2,6,1,0.869464286,pos,221,Positive
32,3,0,3,1,0.2875,pos,61,Positive
33,6,2,7,5,2.618431595,pos,372,Positive
34,7,4,4,1,0.216830808,pos,122,Positive
35,3,3,5,2,0.908363095,pos,188,Positive
36,0,0,3,0,-1.3625,neg,46,Negative
37,6,2,7,1,0.493358396,pos,174,Positive
38,4,0,2,0,1.518303571,pos,60,Positive
39,2,2,7,1,-1.821464646,neg,146,Negative
40,3,0,1,0,0.683333333,pos,68,Positive
41,8,2,1,0,2.179166667,pos,131,Positive
42,1,0,2,0,-1.132539683,neg,97,Negative
43,3,2,4,2,1.361121032,pos,153,Positive
44,0,1,1,1,0.40625,pos,95,Positive
45,6,5,1,0,1.339669421,pos,119,Positive
46,2,0,1,0,0.816666667,pos,46,Positive
47,0,0,0,0,0.4,pos,82,Positive
48,8,5,3,2,3.74047619,pos,403,Positive
49,2,0,4,0,0.054329004,pos,63,Neutral
50,5,0,4,1,-0.254913311,neg,234,Negative
51,7,2,5,2,2.744249038,pos,335,Positive
52,2,2,1,0,0.839880952,pos,97,Positive
53,0,1,0,0,1.839935065,pos,44,Positive
54,0,4,2,1,0.086904762,pos,108,Neutral
55,5,1,3,0,0.487962963,pos,113,Positive
56,1,0,1,1,0.68531746,pos,114,Positive
57,2,1,3,0,2.831999684,pos,99,Positive
58,14,3,7,1,1.919374098,pos,307,Positive
59,10,3,3,1,1.922902237,pos,240,Positive
60,3,0,1,1,0.415992063,pos,79,Positive
61,0,0,3,1,-0.463492063,neg,85,Negative
